mask,lambda,lr_multiplier,seed42,seed43,seed44,mean,sample_std
Dense,1.0,1,0.42053118,0.42965081,0.42639278,0.42552492,0.00462134
Dense,1.0,5,0.4230,0.4123,0.4186,0.4180,0.0054
Dense,1.0,10,0.3981,0.3851,0.3867,0.3900,0.0071
Dense,1.0,20,0.3348,0.3524,0.3328,0.3400,0.0108
Dense,0.1,1,0.4222,0.4301,0.4318,0.4280,0.0051
Dense,0.1,5,0.4356,0.4276,0.4359,0.4330,0.0047
Dense,0.1,10,0.4030,0.4122,0.3999,0.4050,0.0064
Dense,0.1,20,0.4074,0.4008,0.3918,0.4000,0.0078
Top-0.4,1.0,1,0.4265,0.4167,0.4198,0.4210,0.0050
Top-0.4,1.0,5,0.4243,0.4128,0.4170,0.4180,0.0058
Top-0.4,1.0,10,0.4141,0.4053,0.4046,0.4080,0.0053
Top-0.4,1.0,20,0.4033,0.4153,0.4114,0.4100,0.0061
Top-0.4,0.1,1,0.4258,0.4310,0.4212,0.4260,0.0049
Top-0.4,0.1,5,0.4361,0.4275,0.4325,0.4320,0.0043
Top-0.4,0.1,10,0.4392,0.4342,0.4316,0.4350,0.0039
Top-0.4,0.1,20,0.44141989,0.44617029,0.44741950,0.44500323,0.00316549
