run_id,condition,seed,rank,peak_allocated_memory_bytes,measurement_api,reset_after_rl_step,measurement_end_rl_step
pd8b-dense-lam100-lr01-s42-rl160,dense,42,0,77154792505,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s42-rl160,dense,42,1,77231947298,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s42-rl160,dense,42,2,77309102090,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s42-rl160,dense,42,3,77386256883,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s42-rl160,dense,42,4,77463411675,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s42-rl160,dense,42,5,77540566468,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s42-rl160,dense,42,6,77617721260,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s42-rl160,dense,42,7,77694876053,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s43-rl160,dense,43,0,77309411328,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s43-rl160,dense,43,1,77386720739,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s43-rl160,dense,43,2,77464030151,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s43-rl160,dense,43,3,77541339562,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s43-rl160,dense,43,4,77618648973,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s43-rl160,dense,43,5,77695958385,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s43-rl160,dense,43,6,77773267796,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s43-rl160,dense,43,7,77850577207,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s44-rl160,dense,44,0,77464030151,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s44-rl160,dense,44,1,77541494181,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s44-rl160,dense,44,2,77618958211,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s44-rl160,dense,44,3,77696422241,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s44-rl160,dense,44,4,77773886271,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s44-rl160,dense,44,5,77851350301,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s44-rl160,dense,44,6,77928814332,torch.cuda.max_memory_allocated,40,120
pd8b-dense-lam100-lr01-s44-rl160,dense,44,7,78006278362,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s42-rl160,recipe,42,0,81012532131,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s42-rl160,recipe,42,1,81093544663,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s42-rl160,recipe,42,2,81174557195,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s42-rl160,recipe,42,3,81255569727,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s42-rl160,recipe,42,4,81336582259,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s42-rl160,recipe,42,5,81417594791,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s42-rl160,recipe,42,6,81498607323,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s42-rl160,recipe,42,7,81579619856,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s43-rl160,recipe,43,0,81174881894,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s43-rl160,recipe,43,1,81256056776,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s43-rl160,recipe,43,2,81337231658,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s43-rl160,recipe,43,3,81418406540,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s43-rl160,recipe,43,4,81499581422,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s43-rl160,recipe,43,5,81580756304,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s43-rl160,recipe,43,6,81661931186,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s43-rl160,recipe,43,7,81743106068,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s44-rl160,recipe,44,0,81337231658,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s44-rl160,recipe,44,1,81418568890,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s44-rl160,recipe,44,2,81499906122,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s44-rl160,recipe,44,3,81581243353,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s44-rl160,recipe,44,4,81662580585,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s44-rl160,recipe,44,5,81743917816,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s44-rl160,recipe,44,6,81825255048,torch.cuda.max_memory_allocated,40,120
pd8b-top040-lam010-lr20-s44-rl160,recipe,44,7,81906592280,torch.cuda.max_memory_allocated,40,120
