run_id,family,formal_group,model,condition,seed,mask,lambda,lr_multiplier,requested_lr,status,reported_initial_rl_step,reported_final_rl_step,optimizer_step_count,exit_code,interrupted,resume_count,resume_rl_steps,output_directory,reported_actual_lr,formal
pd8b-ctrl-frozen-s42-rl160,mask_control,confirmatory_secondary,Qwen3-8B,frozen,42,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-frozen-s42-rl160,,
pd8b-ctrl-frozen-s43-rl160,mask_control,confirmatory_secondary,Qwen3-8B,frozen,43,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-frozen-s43-rl160,,
pd8b-ctrl-frozen-s44-rl160,mask_control,confirmatory_secondary,Qwen3-8B,frozen,44,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-frozen-s44-rl160,,
pd8b-ctrl-oracle-s42-rl160,mask_control,confirmatory_secondary,Qwen3-8B,oracle,42,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-oracle-s42-rl160,,
pd8b-ctrl-oracle-s43-rl160,mask_control,confirmatory_secondary,Qwen3-8B,oracle,43,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-oracle-s43-rl160,,
pd8b-ctrl-oracle-s44-rl160,mask_control,confirmatory_secondary,Qwen3-8B,oracle,44,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-oracle-s44-rl160,,
pd8b-ctrl-staticmag-s42-rl160,mask_control,confirmatory_secondary,Qwen3-8B,staticmag,42,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-staticmag-s42-rl160,,
pd8b-ctrl-staticmag-s43-rl160,mask_control,confirmatory_secondary,Qwen3-8B,staticmag,43,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-staticmag-s43-rl160,,
pd8b-ctrl-staticmag-s44-rl160,mask_control,confirmatory_secondary,Qwen3-8B,staticmag,44,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-staticmag-s44-rl160,,
pd8b-ctrl-random040-s42-rl160,mask_control,confirmatory_secondary,Qwen3-8B,random040,42,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-random040-s42-rl160,,
pd8b-ctrl-random040-s43-rl160,mask_control,confirmatory_secondary,Qwen3-8B,random040,43,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-random040-s43-rl160,,
pd8b-ctrl-random040-s44-rl160,mask_control,confirmatory_secondary,Qwen3-8B,random040,44,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-random040-s44-rl160,,
pd8b-ctrl-complement-s42-rl160,mask_control,confirmatory_secondary,Qwen3-8B,complement,42,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-complement-s42-rl160,,
pd8b-ctrl-complement-s43-rl160,mask_control,confirmatory_secondary,Qwen3-8B,complement,43,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-complement-s43-rl160,,
pd8b-ctrl-complement-s44-rl160,mask_control,confirmatory_secondary,Qwen3-8B,complement,44,Static-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-ctrl-complement-s44-rl160,,
pd8b-dapo-dense-s42-rl160,dapo,confirmatory_secondary,Qwen3-8B,dense,42,Dense,1.0,1,5e-06,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-dapo-dense-s42-rl160,,
pd8b-dapo-dense-s43-rl160,dapo,confirmatory_secondary,Qwen3-8B,dense,43,Dense,1.0,1,5e-06,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-dapo-dense-s43-rl160,,
pd8b-dapo-dense-s44-rl160,dapo,confirmatory_secondary,Qwen3-8B,dense,44,Dense,1.0,1,5e-06,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-dapo-dense-s44-rl160,,
pd8b-dapo-recipe-s42-rl160,dapo,confirmatory_secondary,Qwen3-8B,recipe,42,Top-0.4,0.1,20,0.0001,completed,0,,160,0,False,0,[],/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-dapo-recipe-s42-rl160,,
