setting,metric,seed42,seed43,seed44,mean,sample_std
Qwen3-8B GRPO,jaccard,0.604,0.589,0.607,0.600,0.00964365
Qwen3-8B GRPO,recall,0.753,0.741,0.755,0.74966667,0.00757188
Qwen3-8B GRPO,sign_agreement,0.783,0.774,0.783,0.780,0.00519615
Qwen3-8B DAPO,jaccard,0.571,0.558,0.586,0.57166667,0.01401190
Qwen3-8B DAPO,recall,0.722,0.708,0.735,0.72166667,0.01350309
Qwen3-8B DAPO,sign_agreement,0.761,0.749,0.772,0.76066667,0.01150362
Qwen3-1.7B,jaccard,0.548,0.561,0.537,0.54866667,0.01201388
Qwen3-1.7B,recall,0.701,0.718,0.689,0.70266667,0.01457166
Qwen3-1.7B,sign_agreement,0.742,0.755,0.731,0.74266667,0.01201388
Llama3.1-8B,jaccard,0.512,0.498,0.529,0.513,0.01552417
Llama3.1-8B,recall,0.662,0.641,0.678,0.66033333,0.01855622
Llama3.1-8B,sign_agreement,0.718,0.702,0.731,0.717,0.01452584
